date,topic,probability
05/01/00,magazine,0.04660447268206076
05/01/00,china,0.035849594370815974
05/01/00,site,0.032264634933734375
05/02/00,hamster,0.02515958424910806
05/02/00,smell,0.021187018315038365
05/02/00,relative,0.014566075091588877
05/03/00,onion,0.025912634591491946
05/03/00,train,0.013584115734559726
05/03/00,tart,0.012956317295745973
06/01/00,service,0.0340537425117135
06/01/00,message,0.02435994557993368
06/01/00,user,0.0230778431809898
06/02/00,gallery,0.010803459561873324
06/02/00,johnson,0.010803459561873324
06/02/00,june,0.009304112242092067
06/03/00,botton,0.02680381194499632
06/03/00,philosophy,0.02457016094957996
06/03/00,philosopher,0.02457016094957996
07/01/00,patriotism,0.04296359133607541
07/01/00,right,0.01562312412220924
07/01/00,podhoretz,0.014321197112025135
07/02/00,cowen,0.04434628630089312
07/02/00,altman,0.025340735029081785
07/02/00,castano,0.02217314315044656
07/03/00,grocery,0.029365008083786146
07/03/00,sassa,0.029365008083786146
07/03/00,post,0.027733618745798022
08/01/00,butterfly,0.029972482801177456
08/01/00,cancer,0.029972482801177456
08/01/00,vine,0.024171357097723757
08/02/00,meeting,0.021016196504852886
08/02/00,company,0.014689690962123643
08/02/00,jack,0.0121672716607043
08/03/00,mac,0.04234842423621451
08/03/00,window,0.023765488566479285
08/03/00,box,0.017645180656963043
09/01/00,museum,0.010102082357832711
09/01/00,admission,0.009069162092390861
09/01/00,frick,0.008461982323105296
09/02/00,chittenden,0.03828629413191331
09/02/00,george,0.02392893383244582
09/02/00,branford,0.020070728381545153
09/03/00,week,0.015422973562131199
09/03/00,age,0.009055055930244743
09/03/00,islam,0.006895402103477126
10/01/00,child,0.012557624070944124
10/01/00,list,0.010274419694408827
10/01/00,simon,0.009132817506141179
10/02/00,coverage,0.03855112162823476
10/02/00,health,0.03855112162823476
10/02/00,insurance,0.029984205710849254
10/03/00,vaccine,0.035925048934445945
10/03/00,measles,0.017988993875352972
10/03/00,immunization,0.015419137607445406
